ASV_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence
0008eaa2273f0f3b5fe8c23dfa8526b1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae	 Comamonas		0.9729994980566179
00210bd6a55f66cc79d96ede8fb07f1a	Bacteria	 Campilobacterota	 Campylobacteria	 Campylobacterales	 Sulfurimonadaceae	 Sulfurimonas		0.9999907694637227
0025cae6234be7776fa607cf19cbf87a	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Marinifilaceae	 uncultured		0.9999999861894919
00352589cd5d983d1ec1ea015522b368	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Lentimicrobiaceae	 Lentimicrobiaceae	 uncultured_Bacteroidetes	0.8623649347296029
003bcdd39fbacf7608e0578fd28ca13b	Bacteria							0.9999999999999603
005a74c1ad32aaf0ce86eb7f5affba17	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	 Phalacroma_mitra	0.9000113985248245
00698915314427d2ec328dd73fb2af8d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Bradyrhizobium		0.9135325085107048
0089c2ee62e4e072faf4a080fc7ae6e5	Bacteria	 Planctomycetota	 Planctomycetes	 Pirellulales	 Pirellulaceae	 Blastopirellula	 uncultured_planctomycete	0.9944195459215814
008d11c0689fd62d7a19f9e1fbb54268	Bacteria	 Verrucomicrobiota	 Kiritimatiellae	 Kiritimatiellales	 Kiritimatiellaceae	 R76-B128	 uncultured_bacterium	0.9727337097119234
0092e10b758da3a7715776227a57a758	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Fluviicola	 uncultured_Bacteroidetes	0.9263801767459495
009d9d9ead2108df09af45f158e22a07	Bacteria	 Verrucomicrobiota	 Kiritimatiellae	 Kiritimatiellales	 Kiritimatiellaceae	 MSBL3	 uncultured_bacterium	0.9999806878555332
00a128cc51e94cb04c4c120e0504446d	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Cryomorphaceae	 uncultured	 metagenome	0.9999999603636675
00a42d6f4f6b2d512e825f62c1a326f9	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 uncultured	 uncultured	 metagenome	0.9998327885125422
00ae675cf9f826d029a83b53a3329a16	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 uncultured_bacterium	0.9902599886468438
00c3ebc5db7394131736bcd54da810b3	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Crocinitomix	 uncultured_bacterium	0.987141331
00cf396209d988727e53c10710d480b1	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 uncultured	 uncultured	 uncultured_bacterium	0.8734421540118545
00e047a89c3cc1d2d459545ac75f18ed	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_marine	0.9957944913602951
00f2a771e4a04d01f8d178357421ece7	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_marine	0.7465097878269072
010b1368ec425b9ae217c028b13afd38	Bacteria	 Fibrobacterota	 Fibrobacteria	 Fibrobacterales	 Fibrobacteraceae	 uncultured		0.9952440003624049
011cc231bcdc15835b72c78cff249dab	Bacteria	 Verrucomicrobiota	 Omnitrophia	 Omnitrophales	 Omnitrophales	 Omnitrophales	 uncultured_prokaryote	0.9686722493165885
012054e3f62502aff7f455e1592ea87f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 SAR86_clade	 SAR86_clade	 SAR86_clade		0.9999999996955705
0148177360ace0396ce82f10bdfffb50	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae			0.9999999872894376
01505c85c3b1503d5dc558c08dc55f0f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Limnobacter		0.9999999426459689
